dept,date,interest,reviewText,helpcount,nothelpcount
English,03/18/2010,Meh,Do not take her for Shakespeare She does not understand how to teach undergraduate students and insisted that we were terrible with grammar She did not make it clear what she wanted in her papers and frequently became frustrated when we werent interested in the topic There a tons of other teachers to take Shakespeare from Take ANYBODY else,0,0
Psychology,12/21/2010,Really into it,Lectures are 100 useless as nothing discussed pertains to the tests  Professor Miller wastes a lot of time saying nothing at all  Around 3040 pages of the textbook are assigned to read before every lecture  Besides the ridiculous amount of reading there is a curve that helps out a lot  I got an A in the class,0,0
Chemistry,10/18/2013,Really into it,This professor seems very smart and into what she does but the lectures dont actually help me to learn the material I have to read all the chapters in the book in order to feel prepared for the exams which is hard to do while in other classes,0,0
Psychology,09/25/2013,Really into it,Worst class I have ever taken and biggest waste of money Completely not helpful at all Even after going to him several times with questions he either never responded or it was months later,0,0
Chemistry,04/19/2007,Sorta interested,Theres nothing to say but please please please if you even care about your GPA or your life at all DO NOT TAKE HIS CLASS He teaches awful he gets problems wrong ALL the time You have to memorize chemicals of the week and he literally has little useless pieces of trivia on exams He makes you buy HIS books which just screws you over,0,0
Mathematical and Computer Sci.,11/11/2011,Meh,One of the worst classes i have ever taken NOT helpful at all I got a good grade but dreaded the class I got the comment several timesquotits all in your head you think you know what you are doing but you really dontquot,1,0
Mathematics,04/12/2013,Sorta interested,There is no textbook and the tutoring by TAs dont help since they dont understand the concepts He has a very dry teaching method and when you ask a question he makes other students answer it I went to take my final but he made me change my clothes and the final is in class so I missed the first window of taking it Dont take this teacher,0,0
Mathematics,01/19/2008,Sorta interested,Make sure you get a good TA I had Bill Beck and he was very good because Prof Miracle has nothing to do with how your grade turns out Its all about your TA Beck was a great TA because he practically repeated the lecture during discussion Miracle is the author of the book used for many of the math classes at the U,0,0
Sociology,09/18/2006,Sorta interested,NO Had her 3 years ago and NEVER will again Like other people have said Tricky test questions NOT helpful in a bad mood erratic lecturing I am a Sociology major and as difficult as it is because she teaches so many effing classes I avoid her at all costs and advise others who want a good grade to do the same,0,0
Science,12/04/2005,Sorta interested,I feel Hans is a very unfair teacher  He made an introduction biology class very difficult  I agree that it definately feels as though he does not care much about teaching and is here mainly for the research  I really think it is fun for him to make this class difficult  Try to avoid,0,0
Biology,08/26/2011,Sorta interested,i laugh at peoples comments saying poor kooyman he gets bad ratings cause of lazy kids and freshmen wrong he gets bad ratings because he legitimately cannot teach look at the last page of comments  hes sucked since 2004 and is incapable of communicating im sure hes a nice guy  but hes not someone you want to take a class from,0,0
Biology,07/18/2012,Meh,Interesting teachernever really knew what she was talking about It was basically all about plants She often had very challenging quizzes that didnt have anything to do with the material TA reviews were helpful but I felt like we were going over completely different material than in class,1,0
Accounting,08/04/2010,Meh,One of the worst instructors I have ever had Lectures are incoherent and he has no knowledge of accounting Assignments do not coincide with his lectures Exams are poorly designed because if you miss miscalculate one part of a question you miss the entire question Just ignored my emails for office hours to discuss exam quest NOT RECOMMENDED,0,0
Business,09/22/2014,Meh,Hes very hard on attendance passworded surveys after every class and a quiz before and tends to move too quickly through lectures to effectively take notes Also incredibly selfrighteous and unnecessarily LDScentric but most people here will give him points for spirituality,1,2
Psychology,01/24/2007,Low,Kate makes you think there are curves for the midterms when they are actually fake At the end of the semester she goes quotjust kiddingquot and before you you can say Sigmund Freud there never was a curve haha All the other Psych Professors are cool just not Kate She hates violent movies even though the Terminator is clearly better than her,0,0
Mathematics,02/26/2014,Sorta interested,TERRIBLE professor I have resorted to using Khan Academy and other resources to teach myself the course material because she doesnt teach She shows up to class looking like she just rolled out of bed Her appearance and overall approach to teaching this course is very unprofessional and I found it impossible to learn from her,0,0
Mathematics,08/07/2006,Really into it,He is a very nice man and cares about the students he teaches but he goes agonizingly slowly in class so we get through almost none of the material we need to cover each day Attending class is pretty much useless I recommend taking another instructor though he is a nice man He often misses the point of a question so he cant answer it,0,0
Chemistry,02/13/2007,Meh,Doesnt make good use of class time for a guy whos supposed to be an education expert If you ask him a tough question about chem I gaurantee he will not be able to answer it  As far as grades go hes not too tough but it is easy to run out of time on the midterms  The most important part of the class is the practice tests,0,0
Mathematics,04/14/2014,Meh,The worst teacher I think I have ever had Luckily the class is pretty easy but she has a terrible accent and does not know how to use the equipment for the projector My TA was decent so he was able to help me get my A in the class but I would still AVOID her at all costs,1,0
Biology,11/17/2011,Meh,Brother Carter doesnt know the subject he is teaching He just gives out busy work and expects you to get something out of it Doesnt accept late work unless youre a girl This class isnt that great and the teacher didnt make it any better,0,0
Languages,02/01/2011,Low,He is very rude to students When students give their opinion in class Professor Trigo tells students that they are wrong without an explanation  Professor Trigo did not teach information from our books but instead gave his personal opinions about all subjects He did not show any documentation to the class about statements he made  Throughout,0,0
Engineering,10/06/2005,Meh,weird way in grading He asks students at the end of the quarter what grade heshe wants to get,0,0
Accounting,04/29/2014,Low,Absolutely terrible professor Boring to the extreme and unhelpful with questions asked Class is very easy but will leave you struggling in ACCT 3001,0,0
Education,03/06/2008,Really into it,Avoid this teacher at ALL COSTS His class is full of busy work and it seems that he is constantly trying to prove how important he is by using his title of quotDrquot If you want to be bored out of your mind every single day of class then take him In his defense he is a nice person but as a teacher he is horrible,0,0
Chemistry,03/04/2005,It's my life,The past 4 weeks this guy has been teaching something what it is I dont know  I really dont think he is teaching chemistry  At the end of class I look at my notes and there is essentially nothing there  By far the worst prof ever I hope he is good at something bc his teaching is horrendous,0,2
Mathematics,03/13/2006,Really into it,Horrible This guy just eats math books comes to class and spits it all out really fast Doesnt realize other people are actually in the room Totally awful lecture,0,0
Computer Science,12/22/2010,Low,This professor loves to hear himself talk and will be immensely frusterating at times Interrupts students before they can finish asking the question or refuse to answer it at all Homeworks are excessively long tests are excessively difficult and he does a poor job of getting points across during lecture One of the worst professors Ive had,2,0
Physics,01/21/2015,Sorta interested,Jeff is a horrible teacher He makes typos all the time Also he makes physics which is difficult in itself even more difficult and confusing Avoid if possible If you cant avoid him find a good TA who can help you get through it,0,0
Religion,12/15/2012,Meh,It is strongly recommended you take another teacher for this course He means well but he is highly tyrannical The class isnt that hard but the time it takes to complete all of the assignments surpasses  what a 2 credit class should be,0,0
Religion,10/31/2013,Meh,Does not care about student honor he only cares about what he believes is evidence He is a lawyer and will give lawyer like answers if you try to reason with him on anything,1,0
Biology,03/13/2008,Meh,SUCKY  Failed with Stetson even though I went to class lab and office hours  Took 101 again with Wenzel and it was Amazing  Dont take any class with Stetson  especially Bio 101  take it with Wenzel,0,0
History,01/11/2007,Meh,Really bad sense of humor a lot of stupid jokes  Gives little to no feedback on exams or on paper  Not interested in whether or not students actually learn anything  More interested in grammar than in content on paper  Needs to retire  Worst history teacher Ive ever had and I am a graduating history major,0,0
Education,12/13/2011,Sorta interested,The class is not very clear and I never felt like I could ask questions about assignments without being made to feel totally incompetent and slow,0,0
Communication,01/05/2012,Meh,He is one of the worst instructors at BYU He teaches nothing He just reads his powerpoint presentations and thats it He never responds to your email and has no idea what is on tests because he doesnt write the test and he doesnt want to help his students either just worst just worst He just teaches students to earn more money,0,0
Biology,12/15/2011,Really into it,The actual material in the course is really interesting but Dr Lephart doesnt do it justice  He isnt very clear and the difficulty level of his tests hard  ask about irrelevant info dont match up with  his level of teaching makes you feel like the test wont be that difficult  Wouldnt recommend him,0,0
Political Science,05/06/2006,Sorta interested,Terrible abysmal awful the pits Id rather have some lifethreatening illness than take another class with Professor Dolan  The material itself isnt bad at all I have no objection to it whatsoever  My only objection is to the instructor hes absolutely bloody impossible to deal with  I take my hat off to anyone whos managed to survivehim,0,0
Physics,12/06/2004,Sorta interested,He is way too full of himself and thinks he is always right He puts problems on quizes and tests that he admittely said we were going to get wrong Even our TA hated him BAD,0,0
Education,11/11/2011,Really into it,Brother Magleby is a rude person who asks for questions and input and when given he replies with remarks that are not only rude but also arrogant I would never suggest him as a teacher He is a teacher that would make a student hate getting an education He is not clear on assignments and is not approachable,0,1
Physics,03/10/2005,Sorta interested,If you LOVE physics he is probably good but for students that have only moderate interest he is not  His grading is extremely unclear and he doesnt care enough to make his own lectures  They are all written by somebody else  It shows,0,0
Mathematics,03/17/2009,Sorta interested,Watch out Bro Woodruff is highly reviewed but he is no longer using a textbook for 316 instead he is substituting his own cryptic and highly abbreviated notes  To be able to use a textbook would make the workload reasonable and much less frustrating If you want to learn the content look for another teacher,0,0
French & Italian,12/25/2011,Really into it,Anna is not approachable at all very tough grader and expects a lot from students with minimal practice She also gets annoyed if you dont print materials for class one of them was over 30 pages I used to LOVE Italian until 3015 now I am rethinking getting a minor in it,0,0
Communication,10/05/2009,Really into it,Absolutely useless,0,0
Humanities,04/14/2014,Really into it,Do not take this class from Lund He does not keep track of your grades during the class Its the last day of class and I still dont know what my grade is He takes a long time to correct papers Grades hard Doesnt care about students,0,0
Mathematics,12/13/2008,Really into it,One of the worst instructors Ive ever had He seemed to put very little effort into the course failed to show up to proctor one of his own exams and was unable to solve his review problems in class Tests were far too long and grading was somewhat unpredictable Lectures were taken almost wordforword from the textbook,0,0
Biology,05/06/2010,Meh,Do not take this class Its demanding and totally boring Unless you need to take it I would NOT recommend it,0,0
Chemistry,05/04/2011,Low,Does not teach  Spends entire time talking about labs,0,0
Economics,05/30/2007,Meh,I never imagined that I would have a professor this horrible but my worst nightmares came true  She is completely incompetent at explaining economics as a whole and is an awful professor in all aspects extremely boring endless lectures in which you learn absolutely nothing due to her inability to make concepts tangible  She should be fired,0,0
Religion,04/18/2009,Meh,I wouldnt recommend taking Sis Morgans class During class she never teaches about the scriptures we read just lets people bear their testimony and share experiences Relies heavily on quotes from Apostles and Prophets You have to write a journal EVERY DAY MondayFriday and do a 10 hour doctrinal paper Attendance  reading graded,0,0
Business,03/13/2006,Meh,still teaches long hand with formulas rather than the calculator  Expects work on multiple choice questions Very slow yet very unclear  Avoid her entirely and take with crawford he sounds like a god in comparison,0,0
Chemistry,02/20/2009,Meh,This quy tries to be helpful but I thought this class was a waste of time He didnt really know the material He presented WAY too much info and hardly any of it was on the test,0,0
Literature,04/19/2013,Low,Dont take this class Hes a awful professor there is no basis for grading and he makes up his own paper formats Hes had an interesting career but that doesnt make him a good professor by any means Also hes super grumpy,0,1
Economics,08/15/2014,Low,Honestly going to class is a joke He doesnt really apply much outside of what we learn through the online reading The only reason I went to class was for iClicker points But even those are worth 1 of your grade Just a hard class in general and seemed to make no effort to make it easier,0,0
Biology,12/13/2014,Really into it,Incredibly unclear lectures hardly ever explains important terminology and expects considerably too much background knowledge,0,0
History,01/05/2007,Meh,Pretty much the worst class imaginable I did not like this class at all The lectures seemed long and most of the time boring the tests were way too hard and the class was way too time consuming I read and studied more for this class than any class Ive ever taken and did worse in this class than any of my others,0,0
Communication,12/21/2008,Really into it,Nice guy notsogreat professor He is disorganized in how he teaches and prepares his courses It is apparent he feels strongly about journalism but I didnt get much out of the time I spent in his classroom,0,0
Journalism,11/21/2005,Low,Totally hilarious guy but not a teacher AT ALL Every lecture is a guest speaker which is cool but it doesnt help you on the weekly tests Also hes VERY unclear on projects to quotspark your creativityquot,0,0
Religion,12/06/2011,It's my life,I really enjoyed laughing at the ridiculous things he said  Lots of the quotes he uses are twisted to say what he wants them to say  He hates people from Utah  He has the biggest Ego of anyone I have ever met  While I hated attending class the tests arent too bad and if you read you will be prepared and understand the Book Of Mormon better,1,0
Environ. & Natural Resources,12/14/2009,Meh,Straightforwardbut unclear at the same time Says things like you already know what he is talking about but he doesnt explain at all As far as the group project that is worth alot of your gradegoodluck bc he doesnt give clear or thorough guidelines of whats expected,0,0
Anthropology,03/17/2009,Meh,Its about time she just let her coprofessor take over I cant follow what shes saying because its so spacey Professor Mcnulty is much more fun and at least tries to make anthropology understandable,0,0
Mathematics,01/07/2009,Low,Not good teacher hated lectures and pointless to go to anyways,0,0
Philosophy,12/12/2005,It's my life,The man is brilliant  But hes so arrogant its hard to listen to him for 2 hours  Often complains about people being not as smart as he is and if you disagree with him obviously youre an idiot  Unless you feel like sucking up to a pompous jerk for 10 weeks go for another prof,0,0
Chicano Studies,12/10/2010,Meh,She is new so maybe she is adjusting but I find her to be a very rude professor There were multiple times in class where she said things that were not acceptable Her lectures are very boring and I cannot make the connections with the readings she assigns She also assigned 4 books and course packet that was 60 I have not a single reading,0,0
Chemistry,10/30/2013,Sorta interested,Often times a tad boring attention is easily lost when she talks because most of the time she speaks in monotone Her demos are very exciting though and she doesnt talk to students like she thinks she knows more than you or like shes better than you which is nice,0,0
Art & Art History,05/01/2014,Meh,This professor meant well but was just not good She was unclear inconsistent and would say something and then to do the opposite Did not receive any grades until past halfway through the semester Students would often ask questions clearly and she would give the response I dont understand what youre asking Boring class bad professor,0,0
Mathematics,10/08/2005,Low,Horrible  I went to about five lectures and just stopped going  If youre fortunate enough to have a good TA you can probably afford to miss most of the lectures  He truly does make the lessons harder than they really are  Avoid the name quotConradquot when scheduling at all costs  If you cant avoid him just take the class another quarter,0,0
Business,12/03/2006,Meh,The lecture is a total waste but will cover everthing damn boring included in the final exam so its up to individual students choice Your grade is more correlated to the TA in your specific session Ours is wonderful Didnt feel the need to explain the boredom of the Prof I am sure this is Known Fact,0,0
Mathematics,12/25/2011,It's my life,Simply copies down profs from the textbook usually word for word  Provides a few examples in class and will do a couple of HW problems in class  Will not teach you anything you cannot read in the book which actually works nicely with the independent study based 500 level courses,0,0
History,07/07/2006,Really into it,She is pretty easy and gives some extra credit  She didnt really help me learn anything though  she doesnt know how to follow a PPT presentation and just reads notes from a sheet that she has  She makes up for the shortcomings by being pretty easy on the students though  She will sometimes quiz students as a way to punish the skippers,0,0
Science,12/14/2014,Low,Lazarian has a very heavy accent and mumbles a lot to the point you wont understand him outside of the powerpoints The tests are very specific and no matter how many times you go to office hours he is of no help at all You can tell he is a brilliant man but he just has trouble conveying the material effectively ,0,1
Economics,01/09/2014,Really into it,Nice guy poor teacher His lectures are boring and he rarely looks up from his powerpoint slides He fails to provide real world examples and does not interact well with his students,0,1
Economics,05/17/2005,Sorta interested,wow this guy blows at teaching Hed come in w elementary notes teach some meaningless crap all hour  then send everyone an email the next day telling everyone to forget everything he taught us cuz it was all wrong  If u want to knw how many people agree w me check out the facebook group Dan Miller Has Destroyed My Academic Motivation,0,0
Chemistry,06/09/2012,Sorta interested,Such a useless lecturer Try to avoid taking him at all cost Stoltzfus is better and more helpful Ganesh seems clueless most of the time Did not respond to emails and the book taught me everything If youre stuck with him Stoltzfus has online material thats in your favor,0,0
Computer Science,01/08/2007,Sorta interested,Is very spiritual in class so I feel guilty for hating the man so much  He programs in class on a mac lecture isnt helpful in doing the projects  Not a nice guy during office hours,0,0
Biology,12/28/2004,Sorta interested,One of the worst teachers Ive ever had Complains about any noise in class and writes awful notes Tests are extremely easy to study for all he does is take a compilation of all old questions from the past exams so just study those lecture was a complete bore and waste of time,0,0
Communication,02/28/2007,Sorta interested,Sheldon is an okay professor The structure of the class was very loose not so much teaching us anything as having us do a lot of readings and then discussing them and writing about them I learned more from the other students than from her but it really isnt all that bad if you dont mind going to class just to chat about the material,0,0
Geography,03/15/2010,Low,My honest opinion is that he is one of the worst teachers I have had Lectures and readings which are HUGE are very pointless in terms of useful knowledge Seems like most of the tests are not really covered in class and ends up being random information that is found in the reading he assigns like Wikipedia which is not even legit,0,0
Economics,04/18/2013,Really into it,Shes the worst theres really nothing else to say In terms of the class its not that difficult and she gives some extra credit for attendance and theres a decent curve Shes the worst Absolute worst Boring rude demanding she is just awful,0,0
Chemistry,04/19/2005,Really into it,material is easy to comprehend but York does a poor job of telling you whats really going to be on the tests However lab is fairly easy and fun,0,0
Mathematics,03/08/2008,Meh,Worst class Ive taken  Spent 45 min talking about random stuff then taught for 15 min Homework took about 2 hours for every classhad a quiz every class period I took stats in high school and got an A  I didnt even pass his class and I never really struggled in any subject before him I would never advise anyone to take a class from him ever,0,0
Sociology,11/13/2008,Meh,Terrible teacher I learned nothing from going to lectures She never clarifies about your assignments and tests The TA basically runs the class and grades everything She doesnt curve grades so its nearly impossible to get an a Do yourself a favor and NEVER take her class,1,0
Physics,04/27/2013,Meh,Nothing he teaches is actually relevant to what he gives in the quizzes and exams None of the questions asked stimulate thinking Worst of all he is against using intuitive methods to go about Physics If you get him dont panic drop out or change your professor before its too late Or you will get what you dont deserve,0,0
Journalism,11/24/2004,Sorta interested,This class was worse than death  Its not just that she has unreasonably hard tests or that the tells jokes that only make people uncomfortable it is the fact that she is so unclear during lecture  Unless you want your life to revolve around this class dont expect an quotAquot,0,0
Physics,10/18/2013,Really into it,To quote the great Kenneth Heller it is not my job to make things more clear  It is my job to make things more fuzzy Although he is a decent lecturer his tests are very unclear  For someone with a strong physics background the test questions may not be very difficult for a student who is new to physics the tests are very difficult,0,0
History,01/12/2006,Meh,Dang this guy is incredible boringwhats up with his Lord Of The Ring tangents63,0,0
Political Science,05/02/2007,Meh,Material is moderately interesting and Bohn knows his stuff but this course and instructor is useless disorganized and completely discombobulated,0,0
Religion,04/18/2014,Sorta interested,Honestly all i have to say is that i didnt go to class the past 3 months and i got a 92 on the final Its a joke Some of the questions are flat out ridiculous He is a nice guy and all but the class isnt set up well,0,0
Political Science,06/01/2006,It's my life,He started class by saying he was independent and unbiasedriiiight,0,0
Mathematics,04/12/2009,Really into it,There is not point in going to class  Tests are really easy  His lectures are straight from the book,0,0
Sociology,09/01/2009,Meh,worst professor in the entire freaking world avoid AT ALL COST,0,0
Religion,02/05/2008,Sorta interested,Sister Wyne uses antiquated teaching methods and does not connect with her students in any meaningful way  Her style is very authoritarian and self centered She displays no interest in her students and focuses class discussions on her own experiences  She is the center of attention at all times I would recommend avoiding her classes,3,0
Mathematics,01/24/2011,Low,Doesnt teach well in the sense of helping you learned I passed solely because of my TA He uses an online textbook which is as equally as confusing yet he takes all the problems for homework Switch if you can,0,0
Humanities,04/12/2006,Sorta interested,This class already is a waste of time he just makes it worse His tests are so demanding even if you dont miss any classes,0,0
Journalism,04/28/2010,Sorta interested,His classes were jokes and have little content to learn He is good at encouraging students and this is almost everything he has Group project was a joke too because the amount of work required was ambiguous and was more of an individual project Invite a friend to the course so that you can work the online quiz and the project together,0,1
Mathematics,05/14/2010,Meh,WORST TEACHER EVER DO NOT TAKE CALC WITH HIM,0,0
Geology,12/30/2008,Meh,I really found Nixon to be quite boring What better way to fall asleep than to a professor that turns off the lights shows powerpoints about rocks and talks about rocks in a quiet and monotonous voice Hes a dull teacher And he requires you to learn so many terms its ridiculous,0,0
Mathematics,01/12/2011,Meh,She was an awful TA she was unapproachable and a horrible teacher She made things more confusing if anything She wa also very wishy washy and wavered a lot on decision making I dont recommend her she single handedly ruined my grade,0,0
Religion,01/30/2012,Meh,His homework assignments are really hard and there is a ton of reading I  have a hard time keeping up and his class time doesnt help long lectures where hardly anyone is paying attention Dont take him,0,0
History,01/31/2015,Low,He has you print out the whole book that he wrote himself First day of class he said he was overqualified to teach this course but does not tell you how to teach history and civics to elementary students You have to know all of the material for the test so read the chapters and start studying He is the only prof who teaches this required class,0,0
History,04/02/2009,Meh,I took this class because I read that he was interesting and you learned a lot and that it was some what easy  just what I needed  A COMPLETE LIEThe class is VERY uninteresting and there is 2 TEXT BOOKS  weekly blackboard quizzes essay a timed midterm eassy and sentance limits and 3 NOVELS YOU HAVE TO READ  DO NOT TAKE   ,0,0
Psychology,09/10/2009,Really into it,Very dry professor and material The methods of evaluation did not test whether we knew the material but whether or not we could skim the book fast enough for answers The crazy old woman in the front of the room was the best part of the class,0,0
Biology,10/27/2013,Really into it,She is downright rude  She yelled at a student for taking a picture of the board yells at students for whispering in a 300 person lecture and will single people out to scold them  She also says that almost every other sentence is going to be a midterm question  She is rude unfriendly and unhelpful,0,0
Political Science,05/11/2012,Sorta interested,This is NOT a poli sci course It should be classified as sociology Nonetheless it is a pretty easy class and you dont need to attend lecture that much You wont want to either as his style is super disorganized The paper prompts reflect this and are horribly disjointed Some interesting things learned though,0,0
Political Science,01/06/2006,Low,really easy exams,0,0
Philosophy,01/27/2008,Meh,Horrible class  Professor Hopkins droned on nonstop the whole time delving into dull example after example  The readings were excrutiating and the syllabus had no due dates on it so you couldnt tell when things were due  Everything we learned about contradicting what we had learned about earlier But the test was steeply curved,0,0
Mathematics,04/20/2014,Meh,Shes a theoretical mathematicians she likes discussing theories and concepts rather than the final answer Generally students would expect more calculations rather than explaining the calculations Not your typical calc class personally hard confusing frustrating helpless Shes used to teach higher level math,0,0
Engineering,10/26/2008,Sorta interested,He is not very helpfull expects you to know everything that he is talking about,0,0
Religion,03/11/2005,It's my life,Only fun if you like 3rd century dogmatism taught from the pulpit,0,0
Spanish & Portuguese,05/29/2009,It's my life,Dont take Span 3015 with her unless you want to be quotchallengedquot and receive a horrible grade She doesnt give you any rubric for her compositions and the feedback she gives is fairly worthless  She is a really nice person but as a professor shes not good Just do your best not to take her if you do plan on taking 3021 after,0,0
Business,04/07/2007,Really into it,Horrible teacher  His way of grading is extremely biased  He judges your comments in class and grades them    You come to class having read the case and then you proceed to beat the already quotdead horsequot for an hour and a half  What a waste of my time  I love the case study but his way of teaching it is dry and redundant,0,0
English,04/24/2007,It's my life,Dr Boswell is a great writing teacher  He will push you to think and is very fair in grading  You will do a whole lot of writing but it will be worth it if youre willing to try  He makes a persuasive argument something anyone can do,0,0
Science,01/01/2007,Low,bad professor has trouble speaking english and cannot write her letters are small and she writes in cursive so I spent half of lectures trying to figure out what each word was she whizzes through lectures so unless you already know the material they are useless tests are multiple choice but very hard and you cant use a notecard,0,0
Communication,12/19/2014,Low,Terrible Worst experience Ive ever had at BYU The course wasnt organized His exams werent organized He shared a whole lot of nothing during lectures Waste of time Waste of tuition dollars The final was open book but he failed to tell any of his students So very few were actually able to use it Worst,0,0
Mathematics,12/11/2007,Meh,WORST Prof on this campusUSELESS and difficult He messes up constantly and cant ever figure anything out DO NOT TAKE THIS CLASS WITH HIM The only reason I passed was because of the helpful TA and the free tutorshorrendous,0,0
International Studies,05/23/2010,Sorta interested,Avoid teacher if possible Doesnt speak english very clearly TEst and quizzesyou will have to basically memorize the reading because there will be an excerpt and you have to fill in the blank word If you ask him for helpwell there is no point Notes are useless,0,0
Economics,03/15/2005,Meh,Studying for the midterms in the class makes you feel like you are going to go insane and there is no way to know the information that he picks for the questions,0,0
Psychology,02/12/2005,Really into it,A little too full of himself for my taste,0,0
Chemistry,06/13/2008,Really into it,Not good At all,0,0
Political Science,10/31/2008,Really into it,I love politics but even for me this class is boring most of the time He tends to lose his train of thought a lot and is really not clear in lectures Plus he has the annoying habit of calling names of students off of note cards even though its a 200 person lecture Which is not cool Especially since its so easy to zone out,0,0
Chemistry,12/22/2005,Sorta interested,leaves at least half of the material until the final 2 weeks,0,0
Social Science,03/25/2009,Low,Most ridiculous class ever Unless you really like wasting brain space memorizing thousands of useless terms just to pass a test dont take this class,0,0
Physics & Astronomy,11/26/2013,Sorta interested,HIs lecture is VERY confusing  He skips steps when doing problems and eventually you just had to give up on taking notes in class  Went to his office hour told him I was struggling in class and all he said was to seek out my TA or some tutor didnt even bothered looking at the problems I came to seek help with,0,0
Humanities,12/05/2005,It's my life,No interest in helping students learn more interested in proving numbers attending Treat us as managers63 Hah doesnt even treat us as customers or staff only numbers Book not necessary if go to class Class not necessary if read book Would avoid this prof,0,0
Science,12/09/2005,Sorta interested,the class is a waste of time there is no organization to the radom facts that he spits out at you tests are based on his random facts and so they are really a test of your knowledge of biology if you miss a lecture or presentation not in the notes packet youre screwed because he wont repeat it again or post the info on blackboard,0,0
Psychology,01/14/2011,It's my life,This Professor is really not the best She seems to have bias when talking to some students based on some of the feedback I got from other students If you are looking to get more from the class than what the book offersI suggest you take it with another professor She lacks communication skills badly,0,0
Mathematics,04/14/2008,Sorta interested,worst professor ive ever hadtest is 90 proofs,0,0
Psychology,05/31/2005,Sorta interested,took it for a fun alternative to a second year writing course GEC well i wish i wouldt have My friend has the same class with a different prof and she loves it He is not the best teacher and he makes the tests really hard,0,0
Languages,02/05/2005,It's my life,horrible horrible horrible person and teacher,0,0
Classics,04/20/2007,Sorta interested,Bruce rambles and say uh more than he talks about the stories  His class is the easiest A you could ask for You can earn up to 14 points extra credit and the final exam is a bunch of repeat or practically repeat questions Dont bother going to lecture just go to recitation and read the stories on sparknotes or bookrags,0,0
Geography,12/11/2014,Meh,If u can avoid him do so at all costs He thinks hes teaching middlehigh schoolers He is rude ignorantdoesnt grade u on the material learned he grades on whether u can write a good essay or not Doesnt make and effort to work with students No technology policy No need to do the readings if u come to class Worst classteacher at OSU,4,0
Theater,01/14/2015,Really into it,Refuses to engage in dialectic Unethically grades you against yourself ,0,0
Church History,12/26/2009,Really into it,Manscill is very knowledgeable but he is also very out of touch with the needs and wants of his students If you take this class keep in mind that it is about HIM and HIS knowledge not about what you learn Very frustrating professorand impossible tests that he HAD to curve or else everyone would have failed If you have a choice do not take,0,0
Religion,03/12/2012,Really into it,He has a overall good knowledge of church doctrine and obviously has experience teaching but as a person is very arrogant and condescending but he gets offended easily and cant take it if someone treats him like he treats people Dont take him if you dont mind someone that doesnt care about anything other than getting through the material,0,0
Mathematics,01/28/2007,Really into it,You could tell Joel really cared about his students but he was not a good lecturer He constantly made mistakes and would start over just to do it wrong again so he was hard to follow He does however have great lecture notes and his tests are fair and not bad if you do the homework If you have a good TA his class is doable,0,0
Psychology,09/06/2010,Low,His lectures are a waste of time and his tests are gibberish If you have the option of selecting another professor please do so,0,0
Mathematics,03/02/2014,Meh,Extremely awful DO NOT take this professors class My TA is much better,0,0
Computer Science,12/11/2010,Sorta interested,Dovolis is a cool guy  Hes funny hes chill and hes awkwardly amusing  He is also unorganized has no idea what hes talking about half the time seriously  the TA keeps correcting him and he just laughs it off and he comes into class 5 10 15 or 20 minutes late far too regularly for a 50 minute class,0,0
English,11/16/2009,Really into it,This class is though I wouldnt recommend taking it The tests wouldnt be so impossibly hard if she actually covered the material thoroughly Its hard to know what to study because the lectures are so unorganized She seems like a nice enough woman but if you need an English class for your undergraduate take another one,0,0
Chemistry,06/03/2012,Low,Not a very good lecturer at all He used a bunch of Stoltzfuss stuff My best suggestion is to use Fuss website Very helpful,0,0
History,04/13/2009,Really into it,Thought her lectures were pointless just needed to do the readings and memorize the study guide before the test An A is definitely possible,0,0
Political Science,12/21/2010,Really into it,Terrible professor Lectures are her reading bullet points off notecards Papers are graded harshly and inexplicably so If you ask a question there is about an 80 percent chance she will misunderstand you and give an unhelpful and irrelevant answer Not flexible engaging helpful or nice in any sense of the words,0,0
Biology,11/16/2004,Low,Nice guy but terribly boring Cannot learn Biology in that environment  from him Waste of time with hard tests that do not reflect what is taught,0,0
English,10/30/2007,It's my life,Avoid at all costs Seriously I hate this class It is pathetic how we do more for this one 200 level class than we do for 300 level classes combined I dont have enough room here for all my complaints She offers no help whatsoever Kids withdraw from her classits better to have a W than suffer through her class AVOID THIS TEACHER,0,0
Biology,04/03/2011,Low,Dr Jensen is not a good teacher A nice person but doesnt know how to teach what she knows on a Biology 100 level Quizzes and tests are RIDICULOUSLY hard and dont accurately assess what youve learned If you really love and understand biology prior to taking this class take it from her Otherwise take it from somebody else Seriously,0,0
Religion,03/25/2011,Sorta interested,His grading isnt reliable it does not stay the same at all and doesnt make any sense You have to participate in class but its really hard to because he just talks and talks and talks He thinks hes super funny and hes not I guess if youre a typical mormon youll just crack up though Seriously not worth your time if you wanna learn about BOM,0,0
Mathematics,10/24/2006,Really into it,Scribbles material on the board that is directly from the text book Will complete a whole problem and then realize the end solution is incorrect because he made a mistake at the very begining and has to take five min doing the problem all over again DO NOT TAKE HIS COURSES,0,0
Science,10/29/2004,Sorta interested,If he didnt have a dumb quiz everyday there would be almost no point to class  He goes off on who knows what usually drugs and half of class is wasted  If possible get the other professor he is boring but much more effective then  Study the packet for tests,0,0
